type,path,primary_category,secondary_categories,summary
dir,.agents,agent-skills,build-system,"Custom agent skills and tool definitions"
dir,.github,github-config,ci-cd,"GitHub workflows and PR templates"
dir,docs,documentation,"process-docs; project-conventions; user-guides","User guides, process documentation, and project conventions"
dir,examples,examples,demonstration,"Example code and usage demonstrations"
dir,issues,issue-tracking,harnez-managed,"Issue tracker directory (use harnez commands)"
dir,packages,workspace-packages,,"All first-party workspace packages"
dir,packages/agent-core,agent-runtime,"protocol; event-handling; testing","Core agent execution engine and runtime contracts"
dir,packages/agent-extension,host-adapters,extension-integration,"Built-in adapters connecting agent modules to runtime SPI"
dir,packages/agent-modules,capability-system,"individual-modules; extensibility","Domain-specific agent capabilities (permission, context-manager, goal, mcp, etc.)"
dir,packages/agent-modules/background-task,task-management,async-execution,"Background task lifecycle and management"
dir,packages/agent-modules/context-manager,context-window,token-management,"Context window management and compaction"
dir,packages/agent-modules/goal,session-management,continuations,"Thread goals and continuation logic"
dir,packages/agent-modules/mcp,mcp-integration,protocol,"Model Context Protocol integration"
dir,packages/agent-modules/permission,permissions,policy-enforcement,"Permission system and policy enforcement"
dir,packages/agent-runtime,extension-spi,assembly-layer,"Pluggable extension layer on top of agent-core"
dir,packages/agent-tools,tool-definitions,builtin-tools,"Platform-owned runtime tool definitions and helpers"
dir,packages/browser-core,browser-integration,"electron; headless-chrome","Provider-neutral browser core"
dir,packages/config,configuration,settings-persistence,"Configuration management and file handling"
dir,packages/local-runtime,runtime-host-v1,"session-management; bash-execution; safety; tool-implementations","Local runtime host for desktop and CLI (v1)"
dir,packages/local-runtime-v2,runtime-host-v2,"model-system; session-management; mcp-integration; sandbox; plugin-system","Enhanced local runtime implementation (v2)"
dir,packages/mcode-tools-host,oauth-leasing,tool-launching,"OAuth lease broker for mcode-tools"
dir,packages/oauth-core,authentication,credential-management,"Shared local OAuth state and credential store"
dir,packages/oauth-lease-protocol,authentication,token-leasing,"OAuth access-token lease protocol for hosts"
dir,packages/protocol,protocol-definitions,,"Protocol definitions and contracts"
dir,packages/shared,shared-utilities,,"Shared utilities and types across packages"
dir,packages/tui,cli-ui,"authentication; runtime-adapters; settings; plugin-system","Terminal UI and CLI product entry point"
dir,release,release-config,"file-inventory; dependency-tracking","Machine-read release contracts and file inventory"
dir,scripts,build-system,"release-tools; verification; tooling","Build scripts, release tooling, and verification gates"
dir,test,testing,"test-organization; test-gates; integration-tests","Repository-level tests and test suite declarations"
dir,third_party,vendor-code,"pi-mono; sandbox-runtime","Vendored upstream packages with their own licenses"
file,AGENTS.md,agent-documentation,system-design,"Detailed agent system documentation and architecture"
file,CLAUDE.md,project-governance,agent-guidance,"Agent conventions, project rules, and single sources of truth"
file,CONTRIBUTING.md,governance,contribution-guidelines,"Contribution and review requirements"
file,LICENSE,legal,mit-license,"MIT license text"
file,LICENSE-STATUS.md,legal,dependency-licenses,"License status for all dependencies"
file,Makefile,build-system,targets,"Build targets (e.g., make test-q1)"
file,README.md,documentation,"quick-start; product-overview","Product overview and quick start guide"
file,README_ZH.md,documentation,localized,"Simplified Chinese version of README"
file,SECURITY.md,governance,security-reporting,"Security reporting guidelines"
file,THIRD_PARTY_NOTICES.md,legal,third-party-licenses,"Third-party license notices"
file,package.json,workspace-config,dependencies,"Workspace root configuration and dependencies"
file,pnpm-workspace.yaml,workspace-config,,"pnpm workspace definition"
file,tsconfig.node.json,build-system,typescript,"TypeScript config for Node tools"
file,tsconfig.standalone.json,build-system,"typescript; auto-generated","TypeScript config for bundle (auto-generated)"
file,vitest.oss.config.mjs,build-system,testing,"Vitest configuration for test execution"
file,test/vitest-suites.json,testing,test-gates,"Declaration of every Vitest file grouped by gate"
file,scripts/build.mjs,build-system,compilation,"Build TypeScript packages"
file,scripts/gen-tsconfig-paths.mjs,build-system,typescript,"Generate TypeScript path configuration"
file,scripts/verify.mjs,build-system,verification,"Run full verification pipeline"
file,scripts/source-inventory.mjs,build-system,"file-inventory; auto-generation","Generate release/public-source.json file"
file,scripts/release-cli.mjs,release-tools,versioning,"Release CLI with versioning and packaging"
file,scripts/package-cli-release.mjs,release-tools,packaging,"Package CLI for release"
file,scripts/publish-cli-release.mjs,release-tools,publishing,"Publish CLI release to npm"
file,scripts/verify-cli-release.mjs,release-tools,verification,"Verify CLI release integrity"
file,scripts/source-candidate.mjs,release-tools,validation,"Validate source candidate from upstream"
file,scripts/prepare-source-sync.mjs,release-tools,source-sync,"Prepare upstream source synchronization"
file,scripts/export-source-preview.mjs,release-tools,preview,"Preview source export"
file,scripts/check-standalone-boundary.mjs,build-system,bundling,"Check standalone bundling boundaries"
file,scripts/ci-changes.mjs,build-system,ci-classification,"Classify CI-relevant changes"
file,scripts/run-vitest-suite.mjs,build-system,testing,"Run specific Vitest suite by gate"
file,release/extraction.json,release-config,"source-baseline; package-scope","Source baseline and package scope configuration"
file,release/public-source.json,release-config,"file-inventory; auto-generated","Published file inventory (auto-generated)"
file,release/dependency-licenses.json,release-config,dependency-licenses,"Declared dependency licenses (auto-generated)"
dir,cmd,build-system,cli-tooling,"Code-index CLI tool with embedded repository index"
file,NOTICE,legal,notices,"Project notices and attribution"
file,pnpm-lock.yaml,workspace-config,lock-file,"pnpm dependency lock file"
file,index.csv,documentation,repo-index,"Repository directory and file index (source of truth)"
file,packages/agent-core/src/index.ts,agent-runtime,api-exports,"Core agent runtime exports and public types"
file,packages/agent-tools/src/desktop/subagent-roles.ts,delegation,subagent-authorization,"Subagent role definitions and delegation rules"
file,packages/agent-tools/src/desktop/canonical-tool-policy.ts,permissions,"tool-authorization; policy-enforcement","Standard tool permission policies and role ceiling"
file,packages/agent-modules/background-task/src/types.ts,task-management,type-definitions,"Background task type definitions and interfaces"
file,packages/agent-modules/background-task/src/manager.ts,task-management,lifecycle,"Background task manager and state tracking"
file,packages/agent-modules/background-task/src/index.ts,task-management,api-exports,"Task module exports and public API"
file,packages/agent-modules/permission/src/index.ts,permissions,api-exports,"Permission system exports and enforcement API"
file,packages/agent-modules/goal/src/index.ts,session-management,continuation-logic,"Goal and session continuation type exports"
file,packages/agent-extension/src/index.ts,host-adapters,spi-interface,"Extension SPI interface and adapter registration"
file,packages/local-runtime-v2/src/index.ts,runtime-host-v2,api-exports,"V2 runtime implementation and host API"
file,docs/ManPages.md,cli-tooling,"documentation; packaging","Pattern for generating and installing roff man pages from Cobra CLIs"
